name,label
1,Happy
2,Neutral
3,Happy
4,Disgust
5,Angry
6,Sad
7,Remove
8,Happy
9,Sad
10,Remove
11,Happy
12,Sad
13,Disgust
14,Surprise
15,Remove
16,Angry
17,Neutral
18,Neutral
19,Remove
20,Sad
21,Remove
22,Happy
23,Neutral
24,Happy
25,Remove
26,Neutral
27,Sad
28,Neutral
29,Surprise
30,Remove
31,Neutral
32,Sad
33,Disgust
34,Remove
35,Happy
36,Happy
37,Neutral
38,Neutral
39,Happy
40,Neutral
41,Disgust
42,Angry
43,Neutral
44,Neutral
45,Happy
46,Surprise
47,Happy
48,Happy
49,Happy
50,Neutral
51,Happy
52,Neutral
53,Happy
54,Happy
55,Neutral
56,Neutral
57,Fear
58,Happy
59,Neutral
60,Happy
61,Happy
62,Fear
63,Remove
64,Neutral
65,Neutral
66,Neutral
67,Remove
68,Angry
69,Neutral
70,Remove
71,Happy
72,Happy
73,Neutral
74,Happy
75,Happy
76,Sad
77,Remove
78,Neutral
79,Happy
80,Neutral
81,Happy
82,Happy
83,Happy
84,Disgust
85,Surprise
86,Remove
87,Happy
88,Neutral
89,Angry
90,Neutral
91,Surprise
92,Happy
93,Angry
94,Happy
95,Sad
96,Surprise
97,Neutral
98,Sad
99,Sad
100,Neutral
101,Neutral
102,Neutral
103,Happy
104,Happy
105,Angry
106,Happy
107,Happy
108,Neutral
109,Neutral
110,Angry
111,Happy
112,Happy
113,Happy
114,Happy
115,Angry
116,Happy
117,Remove
118,Happy
119,Happy
120,Happy
121,Happy
122,Neutral
123,Neutral
124,Neutral
125,Happy
126,Angry
127,Happy
128,Neutral
129,Happy
130,Happy
131,Happy
132,Happy
133,Happy
134,Neutral
135,Angry
136,Neutral
137,Angry
138,Happy
139,Sad
140,Neutral
141,Sad
142,Happy
143,Happy
144,Happy
145,Happy
146,Happy
147,Remove
148,Neutral
149,Happy
150,Happy
151,Sad
152,Neutral
153,Happy
154,Happy
155,Happy
156,Happy
157,Surprise
158,Neutral
159,Happy
160,Neutral
161,Happy
162,Happy
163,Happy
164,Neutral
165,Neutral
166,Happy
167,Remove
168,Remove
169,Happy
170,Neutral
171,Happy
172,Neutral
173,Neutral
174,Happy
175,Happy
176,Happy
177,Neutral
178,Remove
179,Neutral
180,Happy
181,Neutral
182,Neutral
183,Remove
184,Remove
185,Surprise
186,Happy
187,Happy
188,Happy
189,Neutral
190,Happy
191,Remove
192,Neutral
193,Happy
194,Neutral
195,Neutral
196,Remove
197,Happy
198,Happy
199,Disgust
200,Neutral
201,Happy
202,Happy
203,Remove
204,Happy
205,Remove
206,Neutral
207,Happy
208,Happy
209,Neutral
210,Neutral
211,Surprise
212,Happy
213,Happy
214,Happy
215,Sad
216,Happy
217,Angry
218,Neutral
219,Happy
220,Happy
221,Remove
222,Neutral
223,Angry
224,Happy
225,Happy
226,Happy
227,Neutral
228,Happy
229,Remove
230,Happy
231,Neutral
232,Neutral
233,Happy
234,Happy
235,Happy
236,Happy
237,Angry
238,Surprise
239,Neutral
240,Happy
241,Happy
242,Happy
243,Neutral
244,Neutral
245,Happy
246,Neutral
247,Remove
248,Fear
249,Remove
250,Happy
251,Angry
252,Sad
253,Surprise
254,Neutral
255,Angry
256,Disgust
257,Happy
258,Angry
259,Happy
260,Neutral
261,Happy
262,Neutral
263,Neutral
264,Happy
265,Remove
266,Happy
267,Neutral
268,Disgust
269,Happy
270,Happy
271,Sad
272,Angry
273,Happy
274,Happy
275,Surprise
276,Happy
277,Sad
278,Happy
279,Happy
280,Surprise
281,Angry
282,Neutral
283,Happy
284,Happy
285,Neutral
286,Happy
287,Happy
288,Happy
289,Angry
290,Neutral
291,Happy
292,Neutral
293,Happy
294,Remove
295,Happy
296,Sad
297,Neutral
298,Happy
299,Sad
300,Surprise
301,Happy
302,Happy
303,Sad
304,Happy
305,Neutral
306,Sad
307,Neutral
308,Sad
309,Sad
310,Happy
311,Happy
312,Happy
313,Neutral
314,Happy
315,Happy
316,Neutral
317,Neutral
318,Remove
319,Neutral
320,Happy
321,Sad
322,Happy
323,Sad
324,Happy
325,Disgust
326,Surprise
327,Happy
328,Happy
329,Happy
330,Surprise
331,Fear
332,Happy
333,Neutral
334,Happy
335,Happy
336,Happy
337,Sad
338,Disgust
339,Happy
340,Remove
341,Remove
342,Neutral
343,Happy
344,Happy
345,Neutral
346,Neutral
347,Happy
348,Happy
349,Neutral
350,Neutral
351,Happy
352,Happy
353,Neutral
354,Neutral
355,Happy
356,Remove
357,Neutral
358,Happy
359,Neutral
360,Fear
361,Sad
362,Happy
363,Happy
364,Fear
365,Neutral
366,Happy
367,Neutral
368,Happy
369,Happy
370,Happy
371,Fear
372,Neutral
373,Neutral
374,Happy
375,Sad
376,Sad
377,Neutral
378,Happy
379,Happy
380,Happy
381,Happy
382,Happy
383,Happy
384,Happy
385,Happy
386,Fear
387,Sad
388,Neutral
389,Happy
390,Happy
391,Neutral
392,Sad
393,Neutral
394,Neutral
395,Neutral
396,Neutral
397,Fear
398,Remove
399,Happy
400,Disgust
401,Angry
402,Happy
403,Happy
404,Happy
405,Happy
406,Neutral
407,Neutral
408,Remove
409,Neutral
410,Happy
411,Remove
412,Fear
413,Remove
414,Remove
415,Surprise
416,Happy
417,Neutral
418,Neutral
419,Neutral
420,Happy
421,Sad
422,Happy
423,Surprise
424,Happy
425,Remove
426,Neutral
427,Neutral
428,Happy
429,Happy
430,Neutral
431,Remove
432,Neutral
433,Angry
434,Neutral
435,Sad
436,Happy
437,Happy
438,Neutral
439,Neutral
440,Happy
441,Neutral
442,Neutral
443,Happy
444,Angry
445,Remove
446,Happy
447,Neutral
448,Surprise
449,Happy
450,Neutral
451,Sad
452,Neutral
453,Neutral
454,Happy
455,Happy
456,Sad
457,Happy
458,Remove
459,Neutral
460,Sad
461,Happy
462,Neutral
463,Neutral
464,Happy
465,Happy
466,Sad
467,Happy
468,Disgust
469,Happy
470,Sad
471,Sad
472,Happy
473,Sad
474,Neutral
475,Neutral
476,Neutral
477,Neutral
478,Neutral
479,Surprise
480,Happy
481,Happy
482,Happy
483,Happy
484,Happy
485,Happy
486,Neutral
487,Happy
488,Happy
489,Neutral
490,Neutral
491,Happy
492,Sad
493,Happy
494,Disgust
495,Happy
496,Surprise
497,Happy
498,Neutral
499,Neutral
500,Happy
501,Happy
502,Happy
503,Happy
504,Sad
505,Angry
506,Neutral
507,Neutral
508,Neutral
509,Neutral
510,Happy
511,Angry
512,Disgust
513,Happy
514,Neutral
515,Neutral
516,Neutral
517,Happy
518,Angry
519,Happy
520,Happy
521,Neutral
522,Happy
523,Happy
524,Sad
525,Happy
526,Neutral
527,Neutral
528,Happy
529,Remove
530,Surprise
531,Sad
532,Happy
533,Neutral
534,Neutral
535,Remove
536,Neutral
537,Sad
538,Angry
539,Happy
540,Happy
541,Neutral
542,Sad
543,Happy
544,Surprise
545,Neutral
546,Happy
547,Happy
548,Disgust
549,Happy
550,Happy
551,Neutral
552,Surprise
553,Happy
554,Remove
555,Happy
556,Remove
557,Angry
558,Happy
559,Disgust
560,Neutral
561,Neutral
562,Happy
563,Happy
564,Happy
565,Remove
566,Neutral
567,Surprise
568,Neutral
569,Happy
570,Happy
571,Sad
572,Angry
573,Sad
574,Happy
575,Happy
576,Sad
577,Surprise
578,Happy
579,Happy
580,Neutral
581,Happy
582,Happy
583,Sad
584,Neutral
585,Happy
586,Neutral
587,Sad
588,Happy
589,Happy
590,Happy
591,Neutral
592,Happy
593,Happy
594,Happy
595,Angry
596,Happy
597,Sad
598,Happy
599,Sad
600,Happy
601,Happy
602,Neutral
603,Happy
604,Neutral
605,Neutral
606,Happy
607,Neutral
608,Neutral
609,Happy
610,Happy
611,Neutral
612,Neutral
613,Surprise
614,Neutral
615,Remove
616,Happy
617,Happy
618,Happy
619,Happy
620,Fear
621,Happy
622,Neutral
623,Disgust
624,Surprise
625,Disgust
626,Neutral
627,Happy
628,Happy
629,Happy
630,Fear
631,Happy
632,Neutral
633,Happy
634,Happy
635,Neutral
636,Happy
637,Happy
638,Remove
639,Surprise
640,Angry
641,Neutral
642,Happy
643,Disgust
644,Happy
645,Happy
646,Happy
647,Happy
648,Neutral
649,Neutral
650,Happy
651,Happy
652,Sad
653,Neutral
654,Happy
655,Sad
656,Happy
657,Happy
658,Neutral
659,Sad
660,Happy
661,Happy
662,Remove
663,Neutral
664,Neutral
665,Neutral
666,Happy
667,Neutral
668,Neutral
669,Remove
670,Angry
671,Happy
672,Happy
673,Surprise
674,Surprise
675,Sad
676,Sad
677,Happy
678,Happy
679,Neutral
680,Neutral
681,Happy
682,Happy
683,Happy
684,Neutral
685,Angry
686,Happy
687,Happy
688,Happy
689,Sad
690,Neutral
691,Happy
692,Neutral
693,Neutral
694,Neutral
695,Happy
696,Neutral
697,Disgust
698,Happy
699,Sad
700,Happy
701,Surprise
702,Neutral
703,Happy
704,Happy
705,Happy
706,Sad
707,Remove
708,Happy
709,Neutral
710,Happy
711,Neutral
712,Happy
713,Neutral
714,Happy
715,Happy
716,Neutral
717,Happy
718,Happy
719,Happy
720,Remove
721,Happy
722,Fear
723,Neutral
724,Happy
725,Neutral
726,Neutral
727,Neutral
728,Disgust
729,Neutral
730,Happy
731,Neutral
732,Neutral
733,Neutral
734,Happy
735,Happy
736,Happy
737,Neutral
738,Happy
739,Happy
740,Remove
741,Happy
742,Happy
743,Happy
744,Neutral
745,Remove
746,Happy
747,Neutral
748,Happy
749,Happy
750,Neutral
751,Happy
752,Surprise
753,Happy
754,Happy
755,Happy
756,Neutral
757,Neutral
758,Neutral
759,Happy
760,Neutral
761,Neutral
762,Happy
763,Happy
764,Neutral
765,Remove
766,Sad
767,Neutral
768,Neutral
769,Happy
770,Happy
771,Happy
772,Neutral
773,Sad
774,Happy
775,Happy
776,Neutral
777,Happy
778,Neutral
779,Happy
780,Happy
781,Neutral
782,Happy
783,Neutral
784,Neutral
785,Neutral
786,Neutral
787,Happy
788,Sad
789,Neutral
790,Sad
791,Neutral
792,Happy
793,Happy
794,Happy
795,Remove
796,Angry
797,Happy
798,Neutral
799,Sad
800,Neutral
801,Sad
802,Sad
803,Sad
804,Neutral
805,Neutral
806,Happy
807,Fear
808,Happy
810,Neutral
811,Happy
812,Neutral
813,Neutral
814,Sad
815,Happy
816,Happy
817,Sad
818,Surprise
819,Remove
820,Neutral
821,Happy
822,Neutral
823,Remove
824,Neutral
825,Happy
826,Neutral
827,Remove
828,Angry
829,Happy
830,Happy
831,Neutral
832,Sad
833,Happy
834,Happy
835,Neutral
836,Neutral
837,Surprise
838,Surprise
839,Neutral
840,Happy
841,Neutral
842,Surprise
843,Happy
844,Happy
845,Remove
846,Neutral
847,Neutral
848,Neutral
849,Neutral
850,Happy
851,Neutral
852,Neutral
853,Happy
854,Sad
855,Happy
856,Happy
857,Disgust
858,Remove
859,Happy
860,Happy
861,Neutral
862,Neutral
863,Remove
864,Neutral
865,Neutral
866,Happy
867,Happy
868,Surprise
869,Happy
870,Happy
871,Surprise
872,Neutral
873,Neutral
874,Happy
875,Happy
876,Surprise
877,Neutral
878,Neutral
879,Remove
880,Happy
881,Happy
882,Neutral
883,Happy
884,Happy
885,Disgust
886,Surprise
887,Remove
888,Remove
889,Happy
890,Neutral
891,Fear
892,Happy
893,Happy
894,Neutral
895,Neutral
896,Neutral
897,Happy
898,Remove
899,Neutral
900,Happy
901,Sad
902,Happy
903,Remove
904,Remove
905,Neutral
906,Happy
907,Happy
908,Happy
909,Neutral
910,Happy
911,Remove
912,Neutral
913,Neutral
914,Neutral
915,Happy
916,Remove
917,Happy
918,Neutral
919,Disgust
920,Remove
921,Neutral
922,Happy
923,Surprise
924,Sad
925,Happy
926,Happy
927,Neutral
928,Sad
929,Happy
930,Neutral
931,Happy
932,Surprise
933,Happy
934,Neutral
935,Happy
936,Neutral
937,Surprise
938,Neutral
939,Neutral
940,Remove
941,Happy
942,Neutral
943,Neutral
944,Happy
945,Happy
946,Happy
947,Remove
948,Happy
949,Remove
950,Happy
951,Neutral
952,Happy
953,Happy
954,Remove
955,Happy
956,Neutral
957,Neutral
958,Neutral
959,Remove
960,Neutral
961,Happy
962,Happy
963,Neutral
964,Neutral
965,Neutral
966,Neutral
967,Neutral
968,Disgust
969,Neutral
970,Happy
971,Remove
972,Sad
973,Sad
974,Neutral
975,Happy
976,Happy
977,Disgust
978,Happy
979,Neutral
980,Surprise
981,Happy
982,Neutral
983,Happy
984,Remove
985,Angry
986,Neutral
987,Neutral
988,Neutral
989,Neutral
990,Neutral
991,Remove
992,Happy
993,Remove
994,Happy
995,Neutral
996,Happy
997,Sad
998,Neutral
999,Happy
1000,Happy
